date,hour,PlayStation5,PlayStation5 DE,XboxSX,XboxSS,Switchグレー,Switchネオン,SwitchLiteターコイズ
2021年08月10日,14時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,15時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,16時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,17時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,18時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,19時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,20時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,21時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,22時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月10日,23時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,00時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,01時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,02時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,03時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,04時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,05時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,06時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,07時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,08時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,09時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,10時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,11時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,12時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,13時,"83,000円","71,000円","66,000円","36,000円","32,700円","31,500円","18,700円"
2021年08月11日,14時,"84,000円","71,500円","66,000円","36,000円","32,800円","32,000円","18,700円"
2021年08月11日,15時,"84,000円","71,500円","66,000円","36,000円","32,800円","32,000円","18,700円"
2021年08月11日,16時,"84,000円","71,500円","66,000円","36,000円","32,800円","32,000円","18,700円"
2021年08月11日,17時,"84,000円","71,500円","66,000円","36,000円","32,800円","32,000円","18,700円"
2021年08月11日,18時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月11日,19時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月11日,20時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月11日,21時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月11日,22時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月11日,23時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,00時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,01時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,02時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,03時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,04時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,05時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,06時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
2021年08月12日,07時,"84,000円","71,500円","66,500円","36,000円","33,000円","32,000円","18,700円"
